,0,0,0
0,0.00386038,2,RWDD2B
1,-0.011642127,4,HORMAD1
2,0.0040363753,2,ECI2
3,0.0022001595,4,CHMP4A
4,0.003955488,2,TRIM68
5,-0.0058411337,4,PRSS27
6,0.0037406068,3,MSANTD4
7,-0.0026180516,4,KLHDC7B
8,0.008273358,0,RARRES1
9,0.010358914,0,TDRD1
10,0.004712297,1,CALML5
11,0.0008328339,4,CHMP7
12,0.007815005,0,SMC1B
13,0.00647551,1,SIM1
14,-0.024432695,4,GBP6
15,0.015581297,0,MOGAT2
16,-0.011501309,4,CLDN8
17,0.004146565,1,TM4SF1-AS1
18,0.00667422,1,NCCRP1
19,0.007871428,0,CD14
20,0.0049583125,1,ZNF295-AS1
21,0.0038798316,2,MIR4257
22,0.015550613,0,SYCP2
23,-0.04808145,4,PLCXD3
24,0.0016592793,4,GPKOW
25,0.0004920044,4,OTUD5
26,-0.020016957,4,PIK3R3
27,0.009764618,0,NPBWR1
28,0.008784278,0,PLEKHF1
29,-0.003118313,4,ST8SIA6-AS1
30,0.009132779,0,KRT5
31,0.0027614315,4,BCL2L10
32,0.0043040346,1,CMYA5
33,0.0029160732,4,SLC25A6
34,0.033442616,0,RERG
35,0.036706105,0,PROM2
36,0.004987625,1,LPO
37,-0.012617674,4,NMB
38,0.0077306526,0,TPCN2
39,0.0075467015,0,DAPK2
40,0.008781065,0,FAM83E
41,0.020126,0,POU2F3
42,-0.0061531533,4,GBP2
43,0.0047092047,1,IRX5
44,0.020502366,0,CYP1A1
45,0.004065265,2,MAP3K12
46,-0.02265101,4,DSC3
47,0.015734212,0,ESPN
48,-0.013842708,4,PALMD
49,0.0020947382,4,CYP2E1
50,-0.0065635843,4,SUV39H1
51,-0.01889125,4,AARD
52,0.02864104,0,HOXC12
53,0.0040963627,1,MUC1
54,-0.0007079094,4,RHOV
55,0.0071004312,0,HES5
56,-0.0024466643,4,RNASEL
57,-0.0058103735,4,PKP1
58,0.011636148,0,ST6GALNAC5
59,0.0037861627,3,EGOT
60,-0.0044981567,4,BCL2L15
61,0.002000944,4,DDIT4L
62,0.0017246569,4,MUC20
63,-0.0043196576,4,CYP7B1
64,0.001401486,4,ALX4
65,0.012448223,0,PLEKHN1
66,0.0037955032,3,WWP2
67,0.015101315,0,RHBDL2
68,0.006268693,1,GOSR2
69,0.003584803,3,NAT10
70,-3.2240103e-05,4,FAM156A
71,-0.00531336,4,SLC5A1
72,0.00365704,3,UBE2U
73,0.0052318373,1,GGT6
74,-0.018387487,4,FXYD3
75,0.005300912,1,CC2D1A
76,0.005427997,1,PCDHGA5
77,0.005376689,1,HSD17B8
78,0.007903112,0,TTC22
79,0.038792178,0,ARPC1B
80,-0.016316509,4,SRF
81,-0.0012769519,4,AKR1B15
82,0.020595586,0,TMPRSS2
83,0.0062593254,1,C1QTNF2
84,0.0051957346,1,SYT12
85,0.017231299,0,CCAR2
86,0.015896214,0,STIL
87,0.021246571,0,UXT
88,0.001742176,4,ZNF300P1
89,0.02637268,0,NDUFB11
90,0.024294352,0,STEAP4
91,0.014997608,0,FBXO2
92,0.0037672073,3,SRD5A1P1
93,0.004998895,1,LDHD
94,-0.016033331,4,DCTN6
95,0.010729052,0,CWH43
96,0.0016535033,4,OSGIN2
97,-0.0014808092,4,HEY2
98,0.005119795,1,C1QL2
99,-0.0017372482,4,FAM131C
100,0.012557343,0,HOXC11
101,0.0051680105,1,ZNF687
102,0.006368401,1,GPR37
103,-0.0034152712,4,IL1RL2
