SYMBOL,ID
PAD,0
SEP,1
A4GALT,2
AAAS,3
AACS,4
AADAT,5
AAK1,6
AANAT,7
AARS,8
AARS2,9
AASDH,10
AASS,11
AATF,12
ABAT,13
ABCA1,14
ABCA2,15
ABCA5,16
ABCA7,17
ABCB10,18
ABCB4,19
ABCB8,20
ABCB9,21
ABCC1,22
ABCC10,23
ABCC3,24
ABCC4,25
ABCC5,26
ABCC8,27
ABCD3,28
ABCD4,29
ABCE1,30
ABCF1,31
ABCF2,32
ABCG1,33
ABCG2,34
ABCG4,35
ABHD1,36
ABHD10,37
ABHD11,38
ABHD12,39
ABHD12B,40
ABHD13,41
ABHD15,42
ABHD3,43
ABHD5,44
ABHD6,45
ABHD8,46
ABI1,47
ABI2,48
ABL1,49
ABL2,50
ABLIM2,51
ABLIM3,52
ABO,53
ABR,54
ABT1,55
ABTB1,56
ABTB2,57
ACAA1,58
ACACA,59
ACAD10,60
ACAD9,61
ACADM,62
ACADS,63
ACADVL,64
ACAN,65
ACAP2,66
ACAT1,67
ACAT2,68
ACBD3,69
ACBD5,70
ACBD6,71
ACCS,72
ACE,73
ACER1,74
ACER2,75
ACHE,76
ACLY,77
ACO1,78
ACO2,79
ACOT13,80
ACOT4,81
ACOT7,82
ACOX1,83
ACOX3,84
ACP2,85
ACP5,86
ACP6,87
ACRBP,88
ACSF2,89
ACSF3,90
ACSL1,91
ACSL3,92
ACSL6,93
ACSM1,94
ACSM3,95
ACSM5,96
ACSS1,97
ACSS3,98
ACTA1,99
ACTB,100
ACTG1,101
ACTL6A,102
ACTL6B,103
ACTN2,104
ACTN3,105
ACTN4,106
ACTR10,107
ACTR1A,108
ACTR1B,109
ACTR2,110
ACTR3,111
ACTR3B,112
ACTR5,113
ACTR6,114
ACTR8,115
ACVR1C,116
ACVR2A,117
ACVR2B,118
ACVRL1,119
ADA,120
ADAD1,121
ADAL,122
ADAM10,123
ADAM11,124
ADAM12,125
ADAM15,126
ADAM17,127
ADAM19,128
ADAM22,129
ADAM32,130
ADAM33,131
ADAMTS1,132
ADAMTS12,133
ADAMTS14,134
ADAMTS15,135
ADAMTS16,136
ADAMTS17,137
ADAMTS2,138
ADAMTS20,139
ADAMTS3,140
ADAMTS5,141
ADAMTS7,142
ADAMTS9,143
ADAMTSL2,144
ADAMTSL3,145
ADAMTSL4,146
ADAMTSL5,147
ADAR,148
ADARB1,149
ADARB2,150
ADAT1,151
ADAT2,152
ADC,153
ADCK2,154
ADCK4,155
ADCK5,156
ADCY1,157
ADCY2,158
ADCY3,159
ADCY4,160
ADCY5,161
ADCY8,162
ADCY9,163
ADCYAP1,164
ADCYAP1R1,165
ADD1,166
ADD2,167
ADD3,168
ADH5,169
ADHFE1,170
ADI1,171
ADIPOR1,172
ADIPOR2,173
ADK,174
ADM,175
ADM2,176
ADNP,177
ADO,178
ADORA2B,179
ADPGK,180
ADPRH,181
ADPRHL2,182
ADRA1A,183
ADRA1B,184
ADRA2A,185
ADRA2B,186
ADRB1,187
ADRB2,188
ADRBK1,189
ADRM1,190
ADSL,191
ADSS,192
ADSSL1,193
AEBP2,194
AEN,195
AFAP1,196
AFAP1L1,197
AFAP1L2,198
AFF1,199
AFF4,200
AFG3L2,201
AFMID,202
AGA,203
AGAP1,204
AGAP2,205
AGAP3,206
AGBL2,207
AGBL3,208
AGBL4,209
AGBL5,210
AGFG1,211
AGFG2,212
AGGF1,213
AGK,214
AGL,215
AGPAT2,216
AGPAT5,217
AGPAT6,218
AGPAT9,219
AGPHD1,220
AGTPBP1,221
AGTR1,222
AGTRAP,223
AGXT2L1,224
AGXT2L2,225
AHCTF1,226
AHCY,227
AHCYL1,228
AHCYL2,229
AHDC1,230
AHI1,231
AHNAK,232
AHNAK2,233
AHR,234
AHSA2,235
AIDA,236
AIF1,237
AIFM2,238
AIFM3,239
AIG1,240
AIM1,241
AIM2,242
AIMP2,243
AIP,244
AIRE,245
AJAP1,246
AK1,247
AK2,248
AK3,249
AK4,250
AK5,251
AK7,252
AKAP1,253
AKAP10,254
AKAP11,255
AKAP12,256
AKAP13,257
AKAP3,258
AKAP5,259
AKAP8,260
AKAP8L,261
AKAP9,262
AKD1,263
AKIRIN1,264
AKR1A1,265
AKR1E2,266
AKR7A3,267
AKR7L,268
AKT1,269
AKT1S1,270
AKT2,271
AKTIP,272
ALAD,273
ALAS1,274
ALDH16A1,275
ALDH18A1,276
ALDH1A2,277
ALDH1A3,278
ALDH1B1,279
ALDH1L2,280
ALDH2,281
ALDH3A2,282
ALDH5A1,283
ALDH6A1,284
ALDH9A1,285
ALDOA,286
ALG12,287
ALG14,288
ALG3,289
ALG5,290
ALG6,291
ALG8,292
ALG9,293
ALK,294
ALKBH2,295
ALKBH4,296
ALKBH5,297
ALMS1,298
ALOX12,299
ALOX5,300
ALOXE3,301
ALPL,302
ALS2,303
ALS2CL,304
ALS2CR8,305
ALX1,306
ALX4,307
AMBN,308
AMBRA1,309
AMD1,310
AMDHD1,311
AMDHD2,312
AMFR,313
AMIGO1,314
AMIGO2,315
AMMECR1L,316
AMN1,317
AMOTL1,318
AMOTL2,319
AMPD2,320
AMPD3,321
AMZ1,322
AMZ2,323
ANAPC11,324
ANAPC16,325
ANAPC5,326
ANAPC7,327
ANGEL1,328
ANGEL2,329
ANGPTL4,330
ANGPTL6,331
ANK1,332
ANKAR,333
ANKDD1A,334
ANKFY1,335
ANKK1,336
ANKLE1,337
ANKMY1,338
ANKRA2,339
ANKRD10,340
ANKRD11,341
ANKRD12,342
ANKRD13A,343
ANKRD13D,344
ANKRD16,345
ANKRD17,346
ANKRD18A,347
ANKRD26,348
ANKRD27,349
ANKRD28,350
ANKRD30A,351
ANKRD34A,352
ANKRD34B,353
ANKRD34C,354
ANKRD36,355
ANKRD37,356
ANKRD40,357
ANKRD42,358
ANKRD45,359
ANKRD46,360
ANKRD49,361
ANKRD50,362
ANKRD52,363
ANKRD53,364
ANKRD54,365
ANKRD6,366
ANKRD9,367
ANKS1A,368
ANKS1B,369
ANLN,370
ANO1,371
ANO10,372
ANO3,373
ANO5,374
ANO6,375
ANO8,376
ANP32A,377
ANP32B,378
ANP32E,379
ANPEP,380
ANTXR1,381
ANXA11,382
ANXA2,383
ANXA4,384
ANXA5,385
ANXA7,386
AOX1,387
AP1AR,388
AP1B1,389
AP1G1,390
AP1G2,391
AP1M1,392
AP1M2,393
AP1S1,394
AP1S3,395
AP2A1,396
AP2A2,397
AP3B1,398
AP3B2,399
AP3D1,400
AP3M2,401
AP4B1,402
AP4E1,403
APBA1,404
APBB1,405
APBB1IP,406
APBB2,407
APCDD1,408
APCDD1L,409
APEH,410
APEX1,411
APH1A,412
APH1B,413
API5,414
APLP1,415
APLP2,416
APOA1,417
APOB,418
APP,419
APPBP2,420
APPL1,421
APRT,422
APTX,423
AQP11,424
AQP3,425
AQP4,426
AQP5,427
AQP8,428
AQR,429
ARAP1,430
ARC,431
ARF1,432
ARF4,433
ARF5,434
ARF6,435
ARFGAP1,436
ARFGAP3,437
ARFGEF1,438
ARFIP1,439
ARFRP1,440
ARG2,441
ARGLU1,442
ARHGAP10,443
ARHGAP11A,444
ARHGAP12,445
ARHGAP19,446
ARHGAP20,447
ARHGAP21,448
ARHGAP22,449
ARHGAP26,450
ARHGAP27,451
ARHGAP29,452
ARHGAP44,453
ARHGAP5,454
ARHGDIA,455
ARHGEF1,456
ARHGEF10,457
ARHGEF10L,458
ARHGEF11,459
ARHGEF12,460
ARHGEF16,461
ARHGEF17,462
ARHGEF18,463
ARHGEF2,464
ARHGEF25,465
ARHGEF26,466
ARHGEF3,467
ARHGEF39,468
ARHGEF4,469
ARHGEF40,470
ARHGEF7,471
ARID1A,472
ARID2,473
ARID3A,474
ARID3B,475
ARID3C,476
ARID5A,477
ARIH1,478
ARL1,479
ARL10,480
