SYMBOL,ID
PAD,0
SEP,1
UNKNOWN,2
MASK,3
SGIP1,4
AGBL4,5
NECAP2,6
CLIC4,7
TGFBR3,8
C1orf21,9
LIN9,10
PRKCZ,11
ICMT,12
CAMTA1,13
C1orf159,14
EPHB2,15
USP48,16
STMN1,17
KHDRBS1,18
EYA3,19
PUM1,20
EPB41,21
NUDC,22
SFPQ,23
THRAP3,24
MACF1,25
GPBP1L1,26
SCP2,27
FAF1,28
RAB3B,29
USP24,30
CACHD1,31
USP1,32
FGGY,33
NFIA,34
NEGR1,35
ST6GALNAC3,36
PIGK,37
LRRC8C,38
DDAH1,39
GCLM,40
PHTF1,41
RAP1A,42
RHOC,43
GNAI3,44
KCNA2,45
OTUD7B,46
TPM3,47
GBAP1,48
DNM3,49
SOAT1,50
SMG7,51
ACBD6,52
PTGS2,53
ZBTB41,54
NEK7,55
PPP1R12B,56
BATF3,57
HHAT,58
ESRRG,59
TSNAX-DISC1,60
TRIM11,61
NUP133,62
RGS7,63
MTR,64
LYST,65
KIF26B,66
SMYD3,67
ZNF496,68
NADK,69
AURKAIP1,70
SKI,71
DFFB,72
MEGF6,73
AJAP1,74
NPHP4,75
KCNAB2,76
ACOT7,77
PLEKHG5,78
PER3,79
GPR157,80
RERE,81
UBE4B,82
CLSTN1,83
KIF1B,84
CTNNBIP1,85
EXOSC10,86
PEX14,87
CASZ1,88
MTOR,89
AGTRAP,90
MFN2,91
FHAD1,92
DNAJC16,93
SPEN,94
FBXO42,95
MFAP2,96
PADI2,97
NBPF1,98
ARHGEF10L,99
IGSF21,100
UBR4,101
CAPZB,102
IFFO2,103
PAX7,104
TMCO4,105
ALPL,106
EIF4G3,107
HP1BP3,108
ECE1,109
CDC42,110
E2F2,111
TCEA3,112
MAN1C1,113
TMEM222,114
AHDC1,115
WASF2,116
PHACTR4,117
TAF12,118
PTPRU,119
PTP4A2,120
HDAC1,121
RNF19B,122
SYNC,123
ZSCAN20,124
PHC2,125
TFAP2E,126
ZMYM4,127
STK40,128
GRIK3,129
RRAGC,130
RLF,131
BMP8B,132
BMP8A,133
KCNQ4,134
SCMH1,135
FOXJ3,136
RIMKLA,137
ERI3,138
ST3GAL3,139
IPO13,140
ZSWIM5,141
TESK2,142
KIF2C,143
PIK3R3,144
MKNK1,145
MAST2,146
ELAVL4,147
OSBPL9,148
EPS15,149
CC2D1B,150
ZFYVE9,151
ZYG11B,152
SSBP3,153
PRKAA2,154
OMA1,155
DOCK7,156
PGM1,157
ROR1,158
JAK1,159
RAVER2,160
PDE4B,161
TCTEX1D1,162
SERBP1,163
DEPDC1,164
PTGER3,165
MSH4,166
ST6GALNAC5,167
AK5,168
ZZZ3,169
PRKACB,170
TTLL7,171
C1orf52,172
MCOLN2,173
LPAR3,174
COL24A1,175
PKN2,176
LRRC8B,177
LRRC8D,178
RPAP2,179
BCAR3,180
CCDC18,181
MTF2,182
SLC44A3,183
ABCD3,184
PTBP2,185
DPYD,186
SNX7,187
CDC14A,188
RNPC3,189
GPSM2,190
STXBP3,191
WDR47,192
KCNC4,193
RBM15,194
GSTM1,195
DRAM2,196
KCND3,197
CTTNBP2NL,198
MAGI3,199
LRIG2,200
SYT6,201
DENND2C,202
TRIM33,203
TSPAN2,204
NGF,205
SYCP1,206
SLC22A15,207
IGSF3,208
ATP1A1,209
MAN1A2,210
SPAG17,211
FAM72B,212
PDE4DIP,213
SEC22B,214
LIX1L,215
CHD1L,216
GPR89B,217
VPS45,218
ENSA,219
RPRD2,220
ZNF687,221
TUFT1,222
POGZ,223
SNX27,224
GATAD2B,225
EFNA3,226
SYT11,227
MSTO1,228
ASH1L,229
IQGAP3,230
PRCC,231
KCNJ10,232
IGSF9,233
PFDN2,234
NOS1AP,235
NUF2,236
LMX1A,237
UCK2,238
FAM78B,239
POU2F1,240
MAEL,241
TIPRL,242
ATP1B1,243
KIFAP3,244
VAMP4,245
RABGAP1L,246
CACYBP,247
ABL2,248
RALGPS2,249
FAM20B,250
TDRD5,251
LHX4,252
CEP350,253
XPR1,254
CACNA1E,255
LAMC1,256
DHX9,257
EDEM3,258
HMCN1,259
GLRX2,260
CDC73,261
KCNT2,262
DENND1B,263
KIF14,264
IPO9,265
CSRP1,266
ARL8A,267
NAV1,268
LGR6,269
KDM5B,270
SYT2,271
ZC3H11A,272
LRRN2,273
DSTYK,274
RASSF5,275
CR1L,276
PLXNA2,277
IRF6,278
SYT14,279
KCNH1,280
LPGAT1,281
INTS7,282
PPP2R5A,283
PTPN14,284
PROX1,285
CENPF,286
KCNK2,287
KCTD3,288
GPATCH2,289
RRP15,290
DUSP10,291
MIA3,292
TP53BP2,293
SUSD4,294
CNIH3,295
ENAH,296
SRP9,297
ACBD3,298
CDC42BPA,299
SNAP47,300
WNT3A,301
GALNT2,302
URB2,303
EXOC8,304
COG2,305
TTC13,306
TRIM67,307
SLC35F3,308
TOMM20,309
GNG4,310
B3GALNT2,311
HEATR1,312
EDARADD,313
GPR137B,314
NID1,315
RYR2,316
FMN2,317
PLD5,318
EFCAB2,319
ADSS,320
ZNF670,321
AHCTF1,322
CNST,323
OR2L13,324
SAMD11,325
AGRN,326
HES4,327
TTLL10,328
TNFRSF18,329
MIR200A,330
SDF4,331
DVL1,332
PUSL1,333
UBE2J2,334
TAS1R3,335
CCNL2,336
MRPL20,337
ATAD3A,338
GNB1,339
GABRD,340
MORN1,341
PEX10,342
HES5,343
PANK4,344
ARHGEF16,345
TP73,346
TPRG1L,347
LRRC47,348
CHD5,349
RPL22,350
HES2,351
ESPN,352
ZBTB48,353
KLHL21,354
PHF13,355
THAP3,356
DNAJC11,357
ERRFI1,358
PARK7,359
ENO1,360
SLC25A33,361
TMEM201,362
RBP7,363
PGD,364
TARDBP,365
SRM,366
MAD2L2,367
FBXO2,368
FBXO6,369
NPPB,370
CLCN6,371
KIAA2013,372
PLOD1,373
MIIP,374
TNFRSF1B,375
DHRS3,376
PDPN,377
PRDM2,378
TMEM51,379
EFHD2,380
DDI2,381
PLEKHM2,382
FLJ37453,383
ZBTB17,384
HSPB7,385
EPHA2,386
MST1P2,387
ATP13A2,388
SDHB,389
RCC2,390
ALDH4A1,391
AKR7L,392
AKR7A3,393
NBL1,394
HTR6,395
MUL1,396
CAMK2N1,397
FAM43B,398
KIF17,399
SH2D5,400
NBPF3,401
RAP1GAP,402
WNT4,403
EPHA8,404
HNRNPR,405
LYPLA2,406
GALE,407
FUCA1,408
GRHL3,409
RCAN3,410
SRRM1,411
RUNX3,412
SYF2,413
LDLRAP1,414
PAFAH2,415
SLC30A2,416
PDIK1L,417
ZNF593,418
HMGN2,419
DHDDS,420
PIGV,421
ARID1A,422
GPN2,423
GPATCH3,424
TRNP1,425
SLC9A1,426
WDTC1,427
GPR3,428
FGR,429
FAM76A,430
RPA2,431
XKR8,432
DNAJC8,433
MED18,434
SESN2,435
SNHG12,436
TRNAU1AP,437
RNU11,438
YTHDF2,439
TMEM200B,440
MECR,441
SDC3,442
ZCCHC17,443
SERINC2,444
PEF1,445
COL16A1,446
TMEM39B,447
IQCC,448
TXLNA,449
BSDC1,450
MARCKSL1,451
ZBTB8B,452
RBBP4,453
YARS,454
HPCA,455
AK2,456
TRIM62,457
ZNF362,458
C1orf94,459
GJB3,460
GJA4,461
NCDN,462
PSMB2,463
CLSPN,464
ADPRHL2,465
TRAPPC3,466
OSCP1,467
LSM10,468
MRPS15,469
ZC3H12A,470
MEAF6,471
DNALI1,472
RSPO1,473
GNL2,474
CDCA8,475
C1orf109,476
MANEAL,477
EPHA10,478
MTF1,479
POU3F1,480
SF3A3,481
FHL3,482
MYCBP,483
AKIRIN1,484
KIAA0754,485
HEYL,486
HPCAL4,487
PPIE,488
NT5C1A,489
TRIT1,490
MFSD2A,491
CAP1,492
ZMPSTE24,493
SMAP2,494
